State,Rate 2022,Rate 2023,Change,Rank
Alabama,2.5,2.5,0.0,27
Alaska,4.3,4.2,-0.1,19
Arizona,3.8,3.7,-0.1,19
Arkansas,3.2,3.1,-0.1,19
California,4.3,4.7,0.4,49
Colorado,3.1,3.3,0.2,41
Connecticut,4.1,3.2,-0.9,1
Delaware,4.2,3.8,-0.4,6
District of Columbia,4.7,4.8,0.1,35
Florida,3.0,3.0,0.0,27
Georgia,3.2,3.3,0.1,35
Hawaii,3.3,2.9,-0.4,6
Idaho,2.9,3.2,0.3,44
Illinois,4.6,4.5,-0.1,19
Indiana,3.1,3.4,0.3,44
Iowa,2.8,2.9,0.1,35
Kansas,2.7,2.9,0.2,41
Kentucky,4.0,4.3,0.3,44
Louisiana,3.7,3.7,0.0,27
Maine,2.9,2.6,-0.3,10
Maryland,3.0,2.2,-0.8,2
Massachusetts,3.6,3.5,-0.1,19
Michigan,4.2,3.9,-0.3,10
Minnesota,2.5,2.8,0.3,44
Mississippi,3.8,3.1,-0.7,3
Missouri,2.6,3.1,0.5,51
Montana,2.7,2.7,0.0,27
Nebraska,2.2,2.3,0.1,35
Nevada,5.2,5.2,0.0,27
New Hampshire,2.4,2.3,-0.1,19
New Jersey,3.9,4.3,0.4,49
New Mexico,4.1,3.7,-0.4,6
New York,4.3,4.1,-0.2,13
North Carolina,3.7,3.5,-0.2,13
North Dakota,2.1,2.0,-0.1,19
Ohio,4.0,3.7,-0.3,10
Oklahoma,3.0,3.2,0.2,41
Oregon,4.0,3.8,-0.2,13
Pennsylvania,4.1,3.7,-0.4,6
Rhode Island,3.2,3.0,-0.2,13
South Carolina,3.2,3.0,-0.2,13
South Dakota,1.9,1.8,-0.1,19
Tennessee,3.4,3.2,-0.2,13
Texas,3.9,4.0,0.1,35
United States,3.6,3.6,0.0,
Utah,2.4,2.7,0.3,44
Vermont,2.4,1.9,-0.5,4
Virginia,2.7,2.7,0.0,27
Washington,4.1,4.2,0.1,35
West Virginia,3.9,3.9,0.0,27
Wisconsin,2.8,2.8,0.0,27
Wyoming,3.4,2.9,-0.5,4
